Star,T_eff,log g,Fe/H,xi_t,E(B-V),E(V-K),A_V,BC(B-V),BC(V-K),M_bol(B-V),M_bol(V-K),Mass,log_L,Radius,Age,source_id
HD 745,5160,3.29,-0.04,1.19,0.082708,0.2438231,0.2563947,-0.2041,-0.1829,1.288,1.309,2.19,1.37,5.86,0.94,2752230097139708160
HD 749,4774,2.67,-0.36,1.39,0.0130062,0.0383422,0.0403192,-0.4597,-0.4045,1.113,1.168,1.32,1.49,8.06,4.72,4976674366466135808
HD 1817,4630,3.02,0.03,1.16,0.0059238,0.0174635,0.0183639,-0.4149,-0.4369,1.452,1.430,1.12,1.37,7.33,8.09,4972969119657226368
HD 2816,5051,3.61,0.01,1.06,0.0285731,0.0842335,0.0885766,-0.2588,-0.2645,2.457,2.452,1.48,0.94,3.86,3.02,2779013135239450752
HD 4145,4733,3.1,0.1,1.2,0.0095835,0.0282522,0.0297089,-0.4112,-0.3426,1.823,1.891,1.26,1.17,5.46,5.55,2376965163670518016
HD 4732,5008,3.32,-0.04,1.21,0.0076328,0.0225015,0.0236617,-0.2809,-0.2904,1.782,1.772,1.65,1.22,5.45,2.18,2345744256120965504
HD 5676,4580,2.76,-0.19,1.26,0.0145243,0.0428176,0.0450253,-0.437,-0.4698,1.515,1.483,1.02,1.43,7.3,11.08,2344351243609814016
HD 5873,4904,3.29,0.06,1.1,0.0221029,0.0651595,0.0685191,-0.3317,-0.3149,2.17,2.187,1.31,1.05,4.62,4.69,2784702111479778560
HD 5877,4658,3.01,-0.08,1.16,0.0103838,0.0306113,0.0321897,-0.4003,-0.4530,1.582,1.530,1.02,1.38,7.06,11.15,4904354233963369984
HD 6037,4556,2.82,0.15,1.24,0.0119604,0.0352594,0.0370774,-0.5278,-0.3758,1.066,1.218,1.43,1.44,7.65,3.51,2359289449102200192
HD 7931,4817,3.28,0.01,1.04,0.0107505,0.0316925,0.0333265,-0.3411,-0.3656,2.067,2.043,1.12,1.11,5.18,7.87,5030097544812093952
HD 8250,4962,3.35,0.01,1.11,0.0113454,0.0334463,0.0351708,-0.3083,-0.3123,2.097,2.093,1.36,1.08,4.81,4.12,2586706902273063040
HD 9218,4866,3.1,-0.19,1.19,0.0097515,0.0287475,0.0302297,-0.3419,-0.3625,1.721,1.701,1.27,1.28,6.06,5.36,5035157325523945856
HD 9925,4850,3.16,-0.04,1.2,0.0168977,0.0498143,0.0523828,-0.3197,-0.3519,1.766,1.733,1.31,1.23,5.91,4.77,4915840763218160640
HD 10731,4866,3.25,0.09,1.2,0.0180297,0.0531515,0.055892,-0.3781,-0.3717,1.666,1.673,1.21,1.26,6.19,6.28,4911339809292237568
HD 11343,4632,3.01,-0.15,1.06,0.0184532,0.0544,0.0572049,-0.4023,-0.4440,1.286,1.244,1.14,1.43,8.0,7.53,4912062772547406976
HD 11653,4518,2.55,-0.02,1.39,0.0172753,0.0509277,0.0535535,-0.5104,-0.5523,1.099,1.057,1.01,1.67,9.39,11.62,4913065149195001728
HD 13471,4884,3.06,-0.17,1.24,0.0142373,0.0419714,0.0441355,-0.3299,-0.3375,1.255,1.248,1.63,1.46,7.3,2.3,4971320264530967808
HD 13652,4717,2.46,-0.24,1.49,0.0111248,0.0327958,0.0344867,-0.3996,-0.4392,1.038,0.998,1.24,1.53,8.94,5.82,5118072906123605248
HD 14791,4639,3.13,0.19,1.22,0.011132,0.0328173,0.0345093,-0.4726,-0.4642,2.043,2.051,1.04,1.43,5.61,10.5,4966414449805314560
HD 14805,4662,3.05,0.02,1.14,0.0154178,0.0454516,0.0477951,-0.4257,-0.4298,1.69,1.686,1.04,1.32,6.48,10.52,4701305428797010432
HD 15414,4834,3.33,-0.09,1.07,0.0140811,0.0415111,0.0436514,-0.3552,-0.3485,2.035,2.041,1.19,1.11,5.11,6.64,4700485261842171904
HD 18131,4966,3.24,0.06,1.39,0.022677,0.0668517,0.0702986,-0.3231,-0.2775,1.877,1.923,1.61,1.16,5.01,2.35,5184265327181629056
HD 19810,4849,3.14,-0.15,1.14,0.0382085,0.1126387,0.1184464,-0.3108,-0.3176,1.718,1.711,1.47,1.19,5.78,3.17,5165754602251648768
HD 20035,4795,3.23,0.02,1.15,0.0072369,0.0213345,0.0224345,-0.3699,-0.3569,2.264,2.277,1.11,1.02,4.63,8.23,4852547754323899136
HD 20924,4649,2.91,0.04,1.3,0.0225526,0.066485,0.069913,-0.4496,-0.4313,1.242,1.261,1.19,1.42,7.89,6.8,5106959901583908096
HD 24316,4775,3.04,-0.19,1.17,0.0292796,0.0863162,0.0907667,-0.3508,-0.3451,0.992,0.997,1.67,1.51,8.26,2.13,5107766874400178176
HD 25069,4907,3.31,0.01,1.15,0.0233652,0.0688805,0.072432,-0.3091,-0.2840,2.127,2.152,1.52,1.1,4.54,2.81,3245123980001812864
HD 26633,5027,3.52,-0.12,1.08,0.0186205,0.0548933,0.0577236,-0.2729,-0.2454,2.212,2.239,1.64,1.04,4.16,2.19,3252299805202210944
HD 28901,4735,3.22,0.12,1.18,0.0114037,0.033618,0.0353514,-0.3973,-0.3928,2.091,2.096,1.02,1.15,5.21,11.26,4891076291029026432
HD 29399,4848,3.33,0.07,1.1,0.0053133,0.0156637,0.0164713,-0.3541,-0.2214,2.143,2.276,1.68,1.0,3.97,2.04,4675576135153914368
HD 31860,4621,2.74,-0.02,1.21,0.0137779,0.0406173,0.0427115,-0.4483,-0.4373,1.17,1.181,1.2,1.46,8.21,6.56,4824986743027450752
HD 32483,5103,3.14,-0.06,1.19,0.0376781,0.1110752,0.1168022,-0.2664,-0.2500,1.174,1.191,2.16,1.43,6.79,0.97,3240305267214541696
HD 33844,4919,3.17,0.14,1.19,0.0289937,0.0854734,0.0898805,-0.3425,-0.3197,1.838,1.861,1.42,1.18,5.4,3.59,2986593268342544768
HD 34851,4765,2.93,0.13,1.33,0.0435754,0.1284603,0.1350837,-0.3821,-0.3586,1.301,1.325,1.5,1.39,7.19,3.0,4649065844660928384
HD 37763,4845,3.03,0.22,1.25,0.0106343,0.03135,0.0329664,-0.441,-0.4304,2.244,2.255,1.04,1.32,4.99,10.6,4648162939452971008
HD 39281,4817,3.37,0.08,1.09,0.0364081,0.1073311,0.1128652,-0.3447,-0.3264,2.287,2.305,1.21,1.0,4.43,6.24,4768125430477357440
HD 40409,4858,3.27,0.07,1.14,0.0061212,0.0180454,0.0189758,-0.3621,-0.3531,2.184,2.193,1.12,1.05,4.79,7.91,4756622820871136640
HD 43429,4739,3.01,-0.03,1.17,0.0131004,0.0386198,0.0406111,-0.3682,-0.3520,1.6,1.617,1.34,1.29,6.24,4.44,2942716432204133376
HD 46122,5015,3.91,-0.42,0.94,0.0136733,0.040309,0.0423874,-0.2072,-0.2690,1.583,1.521,1.93,1.35,5.98,1.37,3324369631310390656
HD 46262,4746,2.91,-0.38,1.18,0.0486307,0.1433634,0.1507553,-0.3345,-0.4588,1.55,1.426,1.04,1.37,7.44,10.35,5211836474602632960
HD 47141,4644,2.57,0.06,1.31,0.0151089,0.044541,0.0468376,-0.5358,-0.5128,1.512,1.535,1.03,1.59,7.34,10.74,2923705532563309952
HD 47205,4825,3.14,0.13,1.19,0.0060448,0.0178199,0.0187387,-0.4158,-0.3334,1.997,2.080,1.26,1.11,4.96,5.52,2939555954755196160
HD 47366,4914,3.1,-0.07,1.23,0.0280487,0.0826875,0.0869509,-0.2925,-0.2176,1.222,1.297,2.19,1.39,6.2,0.94,2951804033248308480
HD 48345,5048,3.39,0.04,1.09,0.0166946,0.0492156,0.0517531,-0.289,-0.2705,2.022,2.041,1.6,1.11,4.71,2.39,3359618251814248704
HD 51268,4626,2.89,0.09,1.24,0.0350113,0.1032134,0.1085351,-0.4576,-0.4420,1.651,1.667,1.01,1.32,6.59,11.71,5497364766569973632
HD 58540,4752,3.12,-0.1,1.15,0.0253629,0.0747698,0.078625,-0.3456,-0.3678,1.812,1.790,1.23,1.22,5.85,6.05,5487468474726154368
HD 59663,4536,2.63,0.03,1.21,0.0597544,0.1761561,0.1852388,-0.4741,-0.4826,0.931,0.923,1.12,1.55,9.56,8.12,5267550721647463936
HD 67644,4588,2.74,0.2,1.26,0.0572866,0.1688808,0.1775883,-0.4768,-0.4422,1.312,1.347,1.1,1.39,7.64,8.57,5320227464745218688
HD 72467,4794,3.31,0.09,1.04,0.009679,0.0285336,0.0300048,-0.359,-0.3516,2.429,2.437,1.07,0.98,4.27,9.28,5644029550319059584
HD 75407,5000,3.24,-0.24,1.23,0.0092655,0.0273146,0.0287229,-0.2797,-0.3071,1.852,1.825,1.52,1.19,5.43,2.85,577958531954386688
HD 76321,4711,2.8,-0.16,1.22,0.0189796,0.0559519,0.0588368,-0.3596,-0.4072,1.31,1.262,1.23,1.43,7.72,5.96,5730638356108759936
HD 76437,4697,2.93,0.04,1.35,0.029574,0.0871841,0.0916794,-0.4317,cdots,1.407,cdots,1.12,1.37,7.38,8.13,5627625042988938112
HD 76920,4698,2.94,-0.11,1.26,0.0248157,0.0731567,0.0769287,-0.4059,-0.4235,1.385,1.367,1.17,1.38,7.47,7.1,5224124307320401024
HD 80275,4597,3.06,0.25,1.16,0.0223983,0.0660302,0.0694347,-0.4822,-0.4391,2.035,2.078,1.02,1.32,5.45,11.42,5623539292139251200
HD 81410,5070,2.99,-0.43,1.28,0.0234183,0.0690371,0.0725967,-0.3225,cdots,1.857,cdots,1.42,1.18,5.43,3.57,5674681804189819648
HD 84070,4748,3.09,0.05,1.21,0.0473343,0.1395415,0.1467363,-0.3524,-0.3648,1.317,1.304,1.44,1.4,7.29,3.46,5410719951774452096
HD 85035,4761,3.36,0.08,1.09,0.0093317,0.0275099,0.0289283,-0.3914,-0.3807,1.997,2.008,1.07,1.15,5.34,9.3,5671506552047192704
HD 85128,4644,2.74,-0.03,1.29,0.058713,0.1730859,0.1820103,-0.4223,-0.4036,0.985,1.004,1.44,1.52,8.69,3.52,5202005466262902144
HD 86359,5068,3.44,-0.16,1.12,0.0115025,0.0339092,0.0356576,-0.2431,-0.2752,2.444,2.412,1.45,0.96,3.99,3.26,616494524722260224
HD 86950,4805,2.66,0.04,1.38,0.0173178,0.051053,0.0536853,-0.3934,-0.3677,0.874,0.900,1.66,1.56,8.8,2.14,5673523262530712832
HD 87089,4875,3.26,0.2,1.19,0.0202574,0.0597189,0.062798,-0.3851,-0.3364,2.327,2.376,1.16,0.98,4.34,7.18,5255952729434580992
HD 94386,4572,2.79,0.08,1.28,0.0189071,0.0557381,0.0586119,-0.504,-0.4885,1.444,1.460,1.03,1.47,7.51,11.04,3557714070625879808
HD 95900,5069,3.33,0.0,1.23,0.0264346,0.0779292,0.0819472,-0.2603,-0.2635,1.31,1.307,2.0,1.39,6.55,1.22,3760472192405584512
HD 98516,4638,2.75,-0.02,1.22,0.0230782,0.0680344,0.0715423,-0.4385,-0.4280,1.425,1.435,1.11,1.36,7.26,8.27,3531410797553251840
HD 98579,4704,3.03,0.03,1.28,0.0213413,0.0629143,0.0661582,-0.4299,-0.3138,1.391,1.507,1.62,1.35,6.31,2.29,3531405059477043584
HD 100939,4774,3.19,0.09,1.08,0.0368703,0.1086937,0.114298,-0.3791,-0.3489,2.0,2.031,1.19,1.12,5.14,6.61,5386076013538356992
HD 103047,5013,3.53,0.05,1.08,0.0118698,0.0349921,0.0367963,-0.2926,-0.2782,2.087,2.102,1.56,1.08,4.62,2.59,3911652051927377792
HD 104358,4612,2.61,-0.11,1.29,0.0366648,0.1080879,0.113661,-0.4142,-0.4538,1.36,1.320,1.02,1.38,7.79,11.15,3487541245677095168
HD 104704,4755,2.99,-0.21,1.21,0.0258037,0.0760692,0.0799913,-0.3452,-0.3881,1.77,1.727,1.15,1.24,6.14,7.32,6076511213480463744
HD 104819,4634,3.03,0.2,1.18,0.0216386,0.0637906,0.0670797,-0.483,-0.4258,2.02,2.077,1.01,1.27,5.39,11.7,3493209949672115328
HD 105096,4778,3.07,0.0,1.18,0.0179601,0.0529463,0.0556762,-0.3782,-0.3888,1.551,1.541,1.21,1.31,6.67,6.3,6076825364566764928
HD 105811,4940,3.23,-0.05,1.13,0.0228578,0.0673847,0.0708591,-0.315,-0.2920,2.107,2.130,1.48,1.07,4.63,3.07,3582056983187698944
HD 106314,5183,3.41,0.0,1.23,0.009443,0.027838,0.0292734,-0.2582,-0.2355,2.527,2.550,1.53,0.9,3.57,2.73,3701146255822139136
HD 108991,4758,2.85,-0.13,1.24,0.0263506,0.0776817,0.081687,-0.3619,-0.3719,1.124,1.114,1.5,1.47,8.0,2.96,3470426350757995904
HD 109866,4730,3.06,-0.21,1.19,0.0430053,0.1267795,0.1333163,-0.3392,-0.3870,1.785,1.737,1.17,1.23,6.09,6.98,6055460066934751744
HD 110238,4791,3.21,0.17,1.27,0.0249759,0.0736288,0.0774252,-0.4365,-0.3880,2.397,2.446,1.01,1.1,4.4,11.57,6160666115465003904
HD 112742,4825,3.35,0.04,0.99,0.0178417,0.0525973,0.0553092,-0.3352,-0.3127,2.22,2.243,1.31,1.04,4.5,4.75,3627235812892925696
HD 113595,4934,3.3,-0.12,1.16,0.0087831,0.0258926,0.0272276,-0.3103,-0.3312,2.391,2.370,1.18,0.98,4.33,6.82,3689271976918878208
HD 114899,4965,3.09,-0.01,1.33,0.0415728,0.1225567,0.1288757,-0.324,-0.3251,1.618,1.617,1.51,1.28,6.08,2.91,6066837229145717760
HD 115066,4752,2.85,-0.18,1.3,0.0294876,0.0869296,0.0914117,-0.3858,-0.3931,1.473,1.466,1.19,1.29,6.95,6.63,6182530350859840384
HD 115202,4765,3.09,-0.09,1.13,0.0176863,0.0521393,0.0548276,-0.3436,-0.3526,1.896,1.887,1.26,1.17,5.5,5.45,3507322593731193728
HD 117434,4781,3.14,-0.06,1.13,0.0116408,0.0343171,0.0360865,-0.3573,-0.3766,2.114,2.095,1.05,1.09,5.12,10.0,3746966822362751872
HD 121056,4807,3.13,-0.1,1.15,0.0138939,0.0409592,0.0430711,-0.3385,-0.3800,1.712,1.670,1.21,1.26,6.24,6.28,6169943210465504384
HD 121156,4710,3.12,0.25,1.18,0.0166988,0.049228,0.0517662,-0.4441,-0.3526,1.501,1.592,1.33,1.29,6.3,4.51,6176913289551271552
HD 121930,4608,2.95,0.23,1.19,0.0318486,0.0938897,0.0987307,-0.4939,-0.4926,1.828,1.829,1.01,1.47,6.32,11.49,6090524454806645248
HD 124087,4769,2.84,-0.07,1.23,0.0441966,0.1302917,0.1370096,-0.3638,-0.4137,1.435,1.385,1.19,1.38,7.36,6.76,6290117391839084928
HD 125774,4695,2.44,-0.21,1.47,0.0591047,0.1742406,0.1832245,-0.3771,-0.4035,0.172,0.146,1.97,1.86,12.9,1.29,6327940729273593344
HD 126105,4870,3.39,0.01,1.04,0.0300886,0.0887011,0.0932745,-0.3252,-0.3385,2.621,2.608,1.08,0.88,3.89,8.82,6283801900128050560
HD 127741,5020,3.39,-0.11,1.06,0.0130476,0.0384642,0.0404474,-0.2557,-0.2769,2.325,2.304,1.5,1.04,4.2,2.93,1172180451495588736
HD 12974,4899,3.15,-0.08,1.15,0.0191694,0.0565115,0.0594252,-0.3179,-0.3263,1.532,1.524,1.55,1.31,6.34,2.64,2494383281710625536
HD 130048,4990,3.01,0.02,1.34,0.0429731,0.1266848,0.1332167,-0.331,-0.3135,1.243,1.260,1.71,1.41,7.07,1.94,6327509583276135168
HD 131182,4687,2.59,-0.17,1.39,0.0608994,0.1795314,0.1887882,-0.3899,-0.4368,0.461,0.414,1.64,1.75,11.71,2.27,6313431883071344512
HD 132396,4862,2.62,-0.26,1.51,0.0262693,0.0774419,0.0814348,-0.3533,-0.3720,0.973,0.954,1.6,1.54,8.61,2.4,6199196129642813440
HD 133166,4777,3.3,0.29,1.18,0.0176983,0.0521745,0.0548647,-0.4874,-0.3965,2.784,2.875,1.01,1.16,3.65,11.67,5907560394189121024
HD 133670,4775,3.07,-0.13,1.17,0.0256569,0.0756365,0.0795364,-0.3288,-0.3326,1.912,1.908,1.32,1.19,5.35,4.62,6231525344908680832
HD 134443,4740,2.73,-0.17,1.33,0.0305659,0.0901081,0.0947541,-0.3758,-0.3699,1.403,1.408,1.39,1.36,6.97,3.87,5904209082753017600
HD 134692,4672,2.89,-0.02,1.29,0.0217709,0.0641806,0.0674897,-0.4398,-0.5197,1.906,1.826,1.02,1.6,6.46,11.33,5824443018868067968
HD 135760,4804,3.26,0.18,1.09,0.0189983,0.056007,0.0588948,-0.3772,-0.3518,1.787,1.812,1.27,1.23,5.69,5.32,6004107513791584512
HD 135872,5034,3.51,-0.06,1.09,0.0388886,0.1146437,0.1205548,-0.2586,-0.2537,2.226,2.231,1.61,1.03,4.23,2.33,6334990316794611200
HD 136135,4832,3.19,0.2,1.15,0.0254746,0.075099,0.0789712,-0.3953,-0.3478,2.39,2.437,1.1,1.0,4.27,8.52,5779260134681834880
HD 136295,4834,3.31,0.0,1.07,0.0418238,0.1232966,0.1296539,-0.3319,-0.3153,2.215,2.231,1.29,1.03,4.54,5.04,6214741299913205888
HD 137115,4919,2.77,0.01,1.42,0.0433177,0.1277007,0.134285,-0.3823,-0.3907,1.595,1.587,1.17,1.29,6.56,6.94,6251922591277969664
HD 138061,4893,2.78,-0.3,1.57,0.0648686,0.1912328,0.2010928,-0.3134,-0.3735,1.265,1.205,1.48,1.44,7.7,3.18,6314647938635253504
HD 138716,4823,3.21,-0.05,1.17,0.0175851,0.0518409,0.0545138,-0.3272,-0.3445,1.932,1.915,1.24,1.17,5.4,5.78,6316829270922140032
HD 138973,4716,3.01,-0.16,1.19,0.0535539,0.1578769,0.1660171,-0.3972,-0.4580,1.559,1.499,1.0,1.32,7.2,12.05,6241270282108214912
HD 142132,4682,3.06,0.01,1.15,0.0506377,0.1492799,0.1569768,-0.4101,-0.3753,1.551,1.586,1.27,1.33,6.46,5.36,5996056649146399744
HD 142384,4698,3.1,0.06,1.15,0.0544956,0.1606529,0.1689363,-0.3723,-0.3747,1.251,1.249,1.47,1.43,7.55,3.24,5996091593001464576
HD 143561,4758,2.55,-0.44,1.51,0.1094149,0.3225552,0.3391863,-0.4013,-0.6357,0.645,0.410,1.02,1.85,13.28,11.19,5994960504777784320
HD 144073,4965,3.11,-0.27,1.29,0.0569484,0.1678839,0.17654,-0.304,-0.3851,1.337,1.256,1.37,1.45,7.59,4.15,6042965560388109824
HD 145428,4818,3.21,-0.32,1.07,0.0682031,0.2010628,0.2114297,-0.2954,-0.3566,1.653,1.592,1.33,1.29,6.33,4.53,6043470682894375808
HD 148760,4805,3.18,0.15,1.26,0.0380472,0.1121631,0.1179462,-0.3763,-0.2988,1.415,1.492,1.72,1.36,6.26,1.91,6045581642143801600
HD 148979,5136,3.53,-0.01,1.14,0.0228818,0.0674555,0.0709335,-0.2316,-0.2363,2.212,2.207,1.69,1.03,4.18,2.01,4440204608712834432
HD 153438,4854,2.82,-0.04,1.29,0.0395785,0.1166773,0.1226932,-0.3857,-0.4104,1.711,1.686,1.05,1.26,6.37,10.01,4126327161784741632
HD 154250,4846,3.21,0.04,1.09,0.0612946,0.1806966,0.1900133,-0.3006,-0.3135,1.678,1.665,1.54,1.26,5.87,2.71,5938763159833614080
HD 154556,4762,3.16,0.12,1.15,0.0149762,0.04415,0.0464264,-0.379,-0.3522,1.678,1.705,1.34,1.29,6.0,4.47,5804925824156690048
HD 155233,4834,3.29,0.0,1.07,0.0339552,0.1001,0.1052612,-0.3245,cdots,2.004,cdots,1.33,1.14,5.07,4.48,4116106136072676608
HD 157261,5050,3.35,-0.2,1.22,0.0214599,0.0632639,0.0665258,-0.2709,-0.2901,1.897,1.878,1.56,1.18,5.19,2.59,4390128726013642112
HD 159743,4706,2.94,-0.2,1.21,0.053955,0.1590594,0.1672606,-0.364,-0.3911,1.11,1.083,1.45,1.49,8.26,3.4,4123077555255942528
HD 162030,4726,3.17,0.18,1.25,0.0330903,0.0975503,0.1025801,-0.4077,-0.3994,1.779,1.787,1.09,1.21,6.04,8.84,4068476013986577152
HD 166309,4991,2.99,0.01,1.36,0.0376334,0.1109432,0.1166635,-0.3608,cdots,1.136,cdots,1.57,1.47,7.86,2.59,4050451307497947904
HD 166476,4698,2.79,-0.2,1.26,0.0293635,0.0865635,0.0910268,-0.3914,-0.4546,1.395,1.332,1.02,1.38,7.76,11.23,6647563090115650304
HD 170286,4569,2.78,0.15,1.27,0.0344319,0.1015053,0.106739,-0.5022,-0.4726,1.179,1.209,1.02,1.43,8.32,11.32,6419423532681197952
HD 170707,4842,3.47,0.17,1.05,0.015346,0.0452401,0.0475727,-0.3628,-0.3504,2.162,2.174,1.17,1.06,4.83,6.99,6703673951620872192
HD 173902,4683,2.81,0.02,1.33,0.019113,0.0563452,0.0592504,-0.4016,-0.4111,1.222,1.213,1.29,1.43,7.94,5.17,6732281148228448768
HD 175304,4669,2.95,0.08,1.22,0.0267162,0.0787594,0.0828202,-0.394,-0.4196,2.033,2.007,1.02,1.27,5.53,11.09,6365778463440274560
HD 176002,4717,3.01,-0.28,1.16,0.0230836,0.0680505,0.0715592,-0.3475,-0.4262,1.932,1.853,1.01,1.27,5.98,11.74,6712419398386752768
HD 176650,4793,3.16,-0.07,1.16,0.0405667,0.1195906,0.1257567,-0.3248,-0.3373,1.942,1.929,1.28,1.18,5.32,5.13,4268620287278693120
HD 176794,4782,3.1,-0.33,1.21,0.0213671,0.0629903,0.0662381,-0.3242,-0.3660,1.56,1.518,1.32,1.34,6.62,4.7,6365545916731039744
HD 179152,5952,3.85,0.14,1.35,0.0643414,0.1896784,0.1994583,-0.1077,-0.0764,1.644,1.676,1.76,1.23,3.97,1.77,4293147849110474624
HD 181342,4972,3.35,0.12,1.15,0.0224323,0.0661305,0.0695402,-0.3233,-0.3112,1.944,1.956,1.42,1.14,5.12,3.55,6770761168986617600
HD 181809,4899,3.19,-0.22,1.65,0.0156395,0.0461052,0.0484824,-0.337,-0.4609,1.849,1.726,1.01,1.38,6.51,11.89,4082719809063565696
HD 188981,4827,3.31,0.12,1.14,0.0231659,0.0682929,0.0718141,-0.3647,-0.3757,1.994,1.983,1.11,1.14,5.38,8.17,6749837084749406592
HD 189186,5067,3.29,-0.4,1.27,0.0199682,0.0588663,0.0619014,-0.2441,-0.2867,1.748,1.706,1.68,1.27,5.6,2.07,4297527788014051328
HD 191067,4789,3.26,-0.08,1.1,0.0152404,0.0449288,0.0472454,-0.339,-0.4073,2.234,2.165,1.02,1.21,5.11,11.35,4236276194243977344
HD 196676,4821,3.15,-0.03,1.19,0.0118798,0.0350215,0.0368273,-0.3571,-0.3655,1.698,1.690,1.26,1.28,6.12,5.6,6914506680631143808
HD 197964,4783,3.05,0.09,1.19,0.0073372,0.0216301,0.0227453,-0.361,cdots,0.946,cdots,1.72,1.6,8.56,1.92,1763000413344449792
HD 199255,5142,3.46,-0.2,1.15,0.0210528,0.0620635,0.0652636,-0.2502,-0.2485,1.74,1.741,1.9,1.24,5.26,1.41,1737727657541040640
HD 199381,4879,3.37,0.02,1.1,0.0234937,0.0692593,0.0728304,-0.3281,-0.3120,2.04,2.056,1.38,1.1,4.9,3.94,1730552863133194368
HD 199809,4600,2.82,0.07,1.09,0.0473192,0.1394969,0.1466894,-0.4135,-0.4429,1.009,0.980,1.25,1.53,9.04,5.67,6801372294252214912
HD 200073,4590,2.75,-0.13,1.19,0.0131625,0.0388031,0.0408038,-0.4177,-0.5385,1.34,1.219,1.03,1.66,8.63,10.75,6774368627975155968
HD 201931,4855,3.38,0.0,1.03,0.0121507,0.0358202,0.0376671,-0.3317,-0.3317,2.486,2.486,1.16,0.93,4.1,7.12,6480588368099308672
HD 204057,4651,2.74,-0.05,1.31,0.0480303,0.1415932,0.1488938,-0.423,-0.4586,0.838,0.802,1.28,1.58,9.93,5.29,6842169432682167936
HD 204073,4812,3.23,0.01,1.09,0.015314,0.0451457,0.0474734,-0.3456,-0.3315,2.117,2.131,1.26,1.07,4.83,5.46,6891395083653684224
HD 204203,4801,3.01,-0.1,1.19,0.02783,0.0820429,0.0862731,-0.352,-0.3592,1.235,1.228,1.5,1.43,7.52,3.01,6830914144465619456
HD 205478,4900,3.31,0.08,1.18,0.0116213,0.0342596,0.0360261,-0.324,-0.3223,1.768,1.770,1.45,1.21,5.65,3.31,6356375508718385024
HD 205577,4614,2.63,-0.14,1.3,0.0322222,0.0949912,0.0998889,-0.4394,-0.4847,1.136,1.090,1.1,1.52,8.88,8.67,6817744125468477568
HD 205972,4782,3.13,0.03,1.13,0.0250636,0.0738875,0.0776971,-0.363,-0.3453,1.374,1.391,1.47,1.32,6.88,3.2,6841987978903646208
HD 206993,5016,3.57,-0.09,1.03,0.0232856,0.0686459,0.0721853,-0.2487,-0.2689,2.301,2.280,1.52,1.01,4.21,2.81,2701711626650736512
HD 208431,4747,3.04,-0.46,1.26,0.0209678,0.0618131,0.0650002,-0.3326,-0.3897,1.63,1.573,1.2,1.3,6.61,6.54,6617611500016882176
HD 208791,4674,2.87,0.09,1.24,0.0277629,0.0818449,0.0860649,-0.4547,-0.4311,1.26,1.283,1.16,1.42,7.8,7.23,2616734255590147200
HD 208897,4905,3.38,0.13,1.17,0.0154511,0.0455499,0.0478984,-0.329,-0.3226,2.079,2.086,1.31,1.09,4.88,4.72,1779772947826839808
HD 214573,4869,3.43,0.15,1.08,0.0050098,0.0147689,0.0155304,-0.3544,-0.3501,2.428,2.433,1.08,0.99,4.28,9.03,6517272336609082880
HD 216640,4688,3.1,0.16,1.13,0.0091883,0.0270871,0.0284838,-0.4531,-0.3619,2.005,2.096,1.14,1.09,5.06,7.61,2404410451368518144
HD 216643,4751,3.03,0.21,1.18,0.0067354,0.0198561,0.0208799,-0.4347,-0.3879,1.675,1.722,1.17,1.24,6.12,6.94,6516320262621002112
HD 218266,4944,3.27,0.01,1.16,0.004466,0.0131657,0.0138445,-0.3464,-0.3265,2.22,2.240,1.26,1.07,4.57,5.52,6539873382234050688
HD 219553,4860,3.08,0.04,1.22,0.0125635,0.0370371,0.0389467,-0.3565,-0.3392,2.13,2.147,1.19,1.02,4.82,6.55,2386410312150368256
HD 222076,4806,3.31,0.05,1.16,0.012065,0.0355676,0.0374015,-0.3484,-0.3442,2.486,2.491,1.07,0.93,4.14,9.29,6386468454774591744
HD 222768,4721,3.17,-0.03,1.09,0.0135022,0.0398044,0.0418567,-0.3732,-0.4002,1.555,1.528,1.18,1.32,6.79,6.78,2387487627386818048
HD 223301,4752,3.07,0.08,1.15,0.0138561,0.0408477,0.0429538,-0.3969,-0.3962,2.284,2.284,1.01,1.16,4.79,11.63,2434228485159022848
HD 223860,4746,2.83,-0.53,1.33,0.0236854,0.0698247,0.0734249,-0.347,-0.3907,1.199,1.155,1.41,1.46,8.02,3.74,2434373998651111552
HD 224910,4667,2.82,-0.08,1.13,0.0185708,0.0547468,0.0575695,-0.3687,-0.4377,1.326,1.257,1.19,1.43,7.94,6.76,2415655740901684736
HIP 50638,4719,2.7,0.03,1.46,0.0119244,0.0351532,0.0369657,-0.4397,-0.4370,2.29,2.293,1.02,1.32,4.92,11.22,5473726022486915584
